,movie_id,production_companies_id
0,2,2303
1,3,2303
2,5,14
3,5,59
4,6,33
5,6,1644
6,6,182
7,8,19123
8,11,1
9,11,25
10,12,3
11,13,4
12,14,2721
13,14,7
14,15,6
15,15,11447
16,16,53671
17,16,8
18,16,76
19,16,119
20,16,157
21,16,201
22,16,321
23,16,591
24,16,2996
25,16,5755
26,16,5975
27,16,7330
28,16,8659
29,16,11239
30,16,14937
31,16,30268
32,16,53667
33,16,53668
34,16,53669
35,16,53670
36,16,6705
37,16,104
38,16,94
39,16,2801
40,16,447
41,16,46
42,17,47
43,17,248
44,17,2268
45,17,2452
46,18,9
47,19,12372
48,20,49
49,20,77
50,21,13723
51,22,2
52,22,130
53,24,14
54,24,59
55,24,39121
56,25,14440
57,25,1522
58,25,19934
59,26,15
60,26,16
61,27,163
62,28,60
63,28,70
64,30,11671
65,31,11671
66,32,11671
67,33,174
68,33,171
69,35,80853
70,35,18
71,35,96084
72,35,19
73,35,11749
74,35,29500
75,38,10146
76,38,10039
77,38,10059
78,55,5084
79,55,110056
80,58,2
81,58,130
82,58,19936
83,59,12
84,59,6363
85,59,429
86,62,385
87,62,21
88,63,33
89,63,507
90,63,17031
91,64,357
92,64,10565
93,64,49
94,64,29566
95,65,24
96,65,23
97,66,5
98,66,97
99,66,171
100,67,850
101,67,15
102,67,89
103,67,91
104,67,93
105,67,95
106,67,315
107,67,703
108,67,4508
109,67,94
110,67,451
111,68,10214
112,69,6402
113,69,84
114,69,85
115,69,86
116,69,711
117,70,126
118,70,171
119,70,1171
120,70,16311
121,70,174
122,71,694
123,71,288
124,71,686
125,71,718
126,71,10163
127,71,10462
128,73,12
129,73,11308
130,73,924
131,74,4
132,74,56
133,74,44
134,74,7
135,75,8601
136,75,174
137,76,97
138,76,104576
139,76,5
140,76,11510
141,77,491
142,77,506
143,77,598
144,77,34446
145,78,5798
146,78,7965
147,78,174
148,79,724
149,79,2269
150,80,11509
151,80,97
152,80,11510
153,81,29
154,82,52846
155,82,33
156,82,675
157,82,52844
158,82,52845
159,82,65822
160,83,22376
161,85,4
162,85,1
163,86,74
164,86,75
165,87,4
166,87,1
167,88,137
168,88,12360
169,89,4
170,89,1
171,90,4
172,90,30
173,90,10288
174,91,85869
175,93,5
176,94,31
177,95,9195
178,95,130
179,95,11533
180,96,30
181,96,4
182,96,10288
183,97,558
184,97,3166
185,98,33
186,98,1645
187,98,14440
188,98,21904
189,98,21905
190,98,21906
191,98,7
192,99,82
193,99,83
194,99,49
