,english_name,iso_639_1
0,Finnish,fi
1,German,de
2,English,en
3,Swedish,sv
4,Welsh,cy
5,Japanese,ja
6,French,fr
7,Spanish,es
8,Arabic,ar
9,Latin,la
10,Hebrew,he
11,Italian,it
12,Turkish,tr
13,Khmer,km
14,Vietnamese,vi
15,Greek,el
16,Mandarin,zh
17,Russian,ru
18,Irish,ga
19,Cantonese,cn
20,Hungarian,hu
21,Nepali,ne
22,Sinhalese,si
23,Danish,da
24,Polish,pl
25,Korean,ko
26,Dutch,nl
27,Portuguese,pt
28,Gaelic,gd
29,Persian,fa
30,Urdu,ur
31,No Language,xx
32,Navajo,nv
33,Serbo-Croatian,sh
34,Bosnian,bs
35,Serbian,sr
36,Norwegian,no
37,Ukrainian,uk
38,Yiddish,yi
39,Albanian,sq
40,Icelandic,is
41,Tagalog,tl
42,Punjabi,pa
43,Hindi,hi
44,Swahili,sw
45,Armenian,hy
46,Romanian,ro
47,Maori,mi
48,Bulgarian,bg
49,Czech,cs
50,Mongolian,mn
51,Thai,th
52,Slovak,sk
53,Chichewa; Nyanja,ny
54,Esperanto,eo
55,Bengali,bn
56,Somali,so
57,Afrikaans,af
58,Xhosa,xh
59,Zulu,zu
60,Tatar,tt
61,Lingala,ln
62,Latvian,lv
63,Estonian,et
64,Haitian; Haitian Creole,ht
65,Catalan,ca
66,Quechua,qu
67,Sanskrit,sa
68,Raeto-Romance,rm
69,Croatian,hr
70,Galician,gl
71,Amharic,am
72,Lithuanian,lt
73,Northern Sami,se
74,Pushto,ps
75,Sardinian,sc
76,Cornish,kw
77,Tibetan,bo
78,Georgian,ka
79,Burmese,my
80,Kurdish,ku
81,Tswana,tn
82,Indonesian,id
83,Bambara,bm
84,Tamil,ta
85,Kazakh,kk
86,Letzeburgesch,lb
87,Slovenian,sl
88,Maltese,mt
89,Malay,ms
90,Inuktitut,iu
91,Chechen,ce
92,Belarusian,be
93,Tajik,tg
94,Moldavian,mo
95,Samoan,sm
96,Guarani,gn
97,Malayalam,ml
98,Lao,lo
99,Tahitian,ty
100,Gujarati,gu
101,Occitan,oc
102,Norwegian Bokmål,nb
103,Macedonian,mk
104,Basque,eu
105,Tonga,to
106,Azerbaijani,az
107,Sotho,st
108,Marathi,mr
109,Uzbek,uz
110,Wolof,wo
111,Telugu,te
112,Corsican,co
113,Javanese,jv
114,Frisian,fy
115,Igbo,ig
